Date;Region/City;Region/City-Eng;Region_ID;Day-Confirmed;Day-Deaths;Day-Recovered;Confirmed;Deaths;Recovered
21/03/2020;Ханты-Мансийский АО;Khanty-Mansi Autonomous Okrug;8600;10;0;0;20;0;0
21/03/2020;Красноярский край;Krasnoyarsk Krai;2400;10;0;0;50;0;0
21/03/2020;Хабаровский край;Khabarovsk Krai;2700;10;0;0;40;0;0
21/03/2020;Республика Крым;Republic of Crimea;8200;10;0;0;10;0;0
22/03/2020;Москва;Moscow (city);7700;540;0;0;1910;0;80
22/03/2020;Новгородская область;Novgorod Oblast;5300;10;0;0;10;0;0
22/03/2020;Кировская область;Kirov Oblast;4300;20;0;0;70;0;0
22/03/2020;Архангельская область;Arkhangelsk Oblast;2900;10;0;0;20;0;0
22/03/2020;Брянская область;Bryansk Oblast;3200;10;0;0;10;0;0
22/03/2020;Удмуртская Республика;Udmurt Republic;1800;20;0;0;20;0;0
23/03/2020;Москва;Moscow (city);7700;710;0;10;2620;0;90
23/03/2020;Московская область;Moscow Oblast;5000;0;0;10;350;0;20
24/03/2020;Москва;Moscow (city);7700;280;0;0;2900;0;90
24/03/2020;Санкт-Петербург;Saint Petersburg (city);7800;50;0;0;210;0;20
24/03/2020;Воронежская область;Voronezh Oblast;3600;40;0;0;60;0;0
24/03/2020;Свердловская область;Sverdlovsk Oblast;6600;40;0;0;130;0;0
24/03/2020;Республика Башкортостан;Republic of Bashkortostan;200;30;0;0;30;0;0
24/03/2020;Липецкая область;Lipetsk Oblast;4800;20;0;0;50;0;30
24/03/2020;Орловская область;Oryol Oblast;5700;20;0;0;20;0;0
24/03/2020;Ленинградская область;Leningrad Oblast;4700;20;0;0;30;0;0
24/03/2020;Приморский край;Primorsky Krai;2500;20;0;0;20;0;0
24/03/2020;Калужская область;Kaluga Oblast;4000;10;0;0;20;0;0
24/03/2020;Чеченская Республика;Chechen Republic;9500;10;0;0;10;0;0
24/03/2020;Волгоградская область;Volgograd Oblast;3400;10;0;0;10;0;0
24/03/2020;Республика Татарстан;Republic of Tatarstan;1600;10;0;0;70;0;0
24/03/2020;Самарская область;Samara Oblast;6300;10;0;0;100;0;0
24/03/2020;Московская область;Moscow Oblast;5000;0;0;10;350;0;30
24/03/2020;Кемеровская область;Kemerovo Oblast;4200;0;0;10;20;0;10
24/03/2020;Красноярский край;Krasnoyarsk Krai;2400;0;0;30;50;0;30
25/03/2020;Москва;Moscow (city);7700;1200;0;50;4100;0;140
25/03/2020;Московская область;Moscow Oblast;5000;60;0;0;410;0;30
25/03/2020;Республика Крым;Republic of Crimea;8200;60;0;0;70;0;0
25/03/2020;Псковская область;Pskov Oblast;6000;40;0;0;40;0;0
25/03/2020;Краснодарский край;Krasnodar Krai;2300;40;0;0;90;0;0
25/03/2020;Оренбургская область;Orenburg Oblast;5600;30;0;0;40;0;0
25/03/2020;Республика Саха (Якутия);Sakha Republic (Yakutia);1400;30;0;0;100;0;0
25/03/2020;Тульская область;Tula Oblast;7100;20;0;0;70;0;0
25/03/2020;Республика Коми;Komi Republic;1100;20;0;0;30;0;0
25/03/2020;Кабардино-Балкарская Республика;Kabardino-Balkar Republic;700;20;0;0;40;0;0
25/03/2020;Пермский край;Perm Krai;5900;20;0;0;50;0;0
25/03/2020;Брянская область;Bryansk Oblast;3200;10;0;0;20;0;0
25/03/2020;Архангельская область;Arkhangelsk Oblast;2900;10;0;0;30;0;0
25/03/2020;Калининградская область;Kaliningrad Oblast;3900;10;0;10;80;0;20
25/03/2020;Ставропольский край;Smolensk Oblast;2600;10;0;0;20;0;0
25/03/2020;Ростовская область;Rostov Oblast;6100;10;0;0;10;0;0
25/03/2020;Республика Башкортостан;Republic of Bashkortostan;200;10;0;0;40;0;0
25/03/2020;Нижегородская область;Nizhny Novgorod Oblast;5200;10;0;0;80;0;10
25/03/2020;Пензенская область;Penza Oblast;5800;10;0;0;20;0;0
25/03/2020;Челябинская область;Chelyabinsk Oblast;7400;10;0;0;20;0;0
26/03/2020;Москва;Moscow (city);7700;1360;20;10;5460;20;150
26/03/2020;Свердловская область;Sverdlovsk Oblast;6600;70;0;0;200;0;0
